title
"title: It's Fine;actors: Saad El Soghayar, Amar, Mohamed Ramadan, Kareem Mahmoud Abdel Aziz, Ayten Amer, Aminaa Alfakharani, Genna Amr, Lotfy Labib, Mahmoud Ellithy;release_year: 2012;rating: TV-14;description: When a beautiful belly-dancer moves into their apartment building, a group of unhappily married men strives to get her attention.;"
"title: It's Now or Never;actors: Dani Rovira, María Valverde, Jordi Sánchez, Joaquín Núñez, Alicia Rubio, Clara Lago, Anna Gras, Gracia Olayo, Melody, Marta Pérez;release_year: 2015;rating: TV-MA;description: When Eva and Alex decide to wed in England, where they met three years earlier, obstacles including a labor strike and a volcano keep them apart.;"
"title: It's Okay, Buddy;actors: Mahmood El-Laithi, Saad El Soghayar, Nermin Maher, Safinaz;release_year: 2017;rating: TV-14;description: Two down-on-their-luck singers set out to marry wealthy women – but not everyone is happy to have them climb the social ladder.;"
"title: Iverson;actors: Allen Iverson;release_year: 2014;rating: NR;description: This unfiltered documentary follows the rocky life and stratospheric career of Allen Iverson, an NBA icon who left an indelible mark on the sport.;"
"title: 최강전사 미니특공대 : 영웅의 탄생;actors: Um Sang-hyun, Yang Jeong-hwa, Jeon Tae-yeol, Shin Yong-woo, Lee So-young, So-yeon;release_year: 2018;rating: TV-Y7;description: Miniforce, a special task force of elite rangers, takes on the Lizard Army to save Earth before it’s too late, in this prequel to the TV series.;"
"title: Jaan-E-Mann: Let's Fall in Love... Again;actors: Salman Khan, Akshay Kumar, Preity Zinta, Anupam Kher, Aman Verma, Javed Sheikh, Soni Razdan, Nawab Shah;release_year: 2006;rating: TV-14;description: To avoid alimony payments, an aspiring actor schemes for his ex-wife to marry an unlikely suitor, but soon realizes he may not be ready to lose her.;"
"title: Jack and the Cuckoo-Clock Heart;actors: Orlando Seale, Samantha Barks, Harry Sadeghi, Stephane Cornicard, Jessie Buckley, Sophia Ellis, Barbara Scaff, Michelle Fairley, Richard Ridings, Howard Samuels;release_year: 2013;rating: PG;description: Equipped with a mechanical heart and determined to stay out of death's shadow, young Jack understands that love could prove fatal.;"
"title: Jack of all Trades;actors: empty;release_year: 2018;rating: TV-MA;description: Once upon a time, baseball cards were as much an American pastime as the sport. But then scandal rocked the multi-million-dollar industry for good.;"
"title: Jack Taylor;actors: Iain Glen, Killian Scott, Nora-Jane Noone, Tara Breathnach, Frank O'Sullivan;release_year: 2016;rating: TV-MA;description: Ken Bruen's bestselling crime novels leap to life in this series of TV movies featuring Irish cop-turned-private-investigator Jack Taylor.;"
"title: Jackie Brown;actors: Pam Grier, Samuel L. Jackson, Robert Forster, Bridget Fonda, Michael Keaton, Robert De Niro, Michael Bowen, Chris Tucker, LisaGay Hamilton, Tommy 'Tiny' Lister, Hattie Winston, Sid Haig;release_year: 1997;rating: R;description: When an aging flight attendant's caught smuggling cash and forced to help with an investigation, she hatches a clever plan to make off with the dough.;"
"title: Jackpot;actors: Chi Tai, Lan Ngoc, Dustin Nguyen, Thu Trang;release_year: 2015;rating: TV-14;description: A lottery ticket salesperson faces an ethical dilemma after setting aside a soon-to-be winning ticket for a customer to pick up and pay for later.;"
"title: Jail;actors: Neil Nitin Mukesh, Manoj Bajpayee, Mugdha Godse, Arya Babbar, Chetan Pandit, Rahul Singh, Navni Parihar, Manish Mehta;release_year: 2009;rating: TV-14;description: Incarcerated for a crime he didn’t commit, a young man must navigate the crowded, cut-throat environment of prison as he awaits trial.;"
"title: Jake's Buccaneer Blast;actors: Megan Richie, Riley Thomas Stewart, Jadon Sand, David Arquette, Jeff Bennett, Corey Burton, Adam Wylie, Dee Bradley Baker;release_year: 2014;rating: TV-Y;description: Jake, Izzy, Cubby and Skully face off against the scheming Captain Hook in a race to find special treasures hidden all around Never Land.;"
"title: Jal;actors: Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma, Mukul Dev, Saidah Jules, Ravi Gossain, Rahul Singh;release_year: 2013;rating: TV-14;description: A gifted young man from a drought-stricken village helps a group of ecologists find water for migrating flamingoes.;"
"title: Jalpari: The Desert Mermaid;actors: Lehar Khan, Krishang Trivedi, Parvin Dabas, Suhasini Mulay, V.M. Badola, Tannishtha Chatterjee, Rahul Singh, Harsh Mayar;release_year: 2012;rating: TV-14;description: When they travel to their father's ancestral village, city kids expecting a natural paradise instead find a poor, dusty town that harbors secrets.;"
"title: Janaan;actors: Armeena Rana Khan, Bilal Ashraf, Ali Rehman Khan, Hania Aamir, Usman Mukhtar, Nayyar Ejaz;release_year: 2016;rating: TV-14;description: After 11 years in Canada, young Meena returns to her native Pakistan for a family wedding and becomes romantically entangled with an adopted cousin.;"
"title: Japanese Style Originator;actors: Takeo Chii, Hisako Manda, Takahiro Azuma, Kazuya Masuda;release_year: 2008;rating: TV-G;description: Find out everything there is to know about Japanese tradition, from food to culture to objects and arts, and the people who are continuing it today.;"
"title: Jay and Silent Bob Strike Back;actors: Jason Mewes, Kevin Smith, Ben Affleck, Jeff Anderson, Brian O'Halloran, Shannon Elizabeth, Eliza Dushku, Ali Larter, Jennifer Schwalbach, Will Ferrell, Jason Lee;release_year: 2001;rating: R;description: Jay and Silent Bob's comic book alter egos have been sold to Hollywood without permission, so they head to Tinseltown to sabotage the production.;"
"title: Jealousy and medicine;actors: Mariusz Dmochowski, Ewa Krzyżewska, Włodzimierz Boruński, Andrzej Mrowiec, Józef Rosiński, Piotr Kąkolewski, Beata Nowicka, Edmund Fetting, Grażyna Staniszewska, Andrzej Łapicki;release_year: 1973;rating: TV-MA;description: Tormented by mistrust, a businessman hires a cagey tailor to track his wife's whereabouts with her doctor only to send his mind further down an abyss.;"
"title: Jeopardy!;actors: Alex Trebek;release_year: 2019;rating: TV-G;description: Alex Trebek hosts one of TV's longest-running game shows, where a trio of players buzz in with their knowledge of history, arts, pop culture and more.;"
title: Jeremy Scott: The People's Designer;actors: Jeremy Scott;release_year: 2015;rating: PG-13;description: The journey of fashion designer Jeremy Scott from humble roots on a Missouri farm to creative director of Moschino is charted in this documentary.;
"title: Jericho;actors: Skeet Ulrich, Lennie James, Ashley Scott, Kenneth Mitchell, Brad Beyer, April Parker-Jones, Alicia Coppola, Pamela Reed, Bob Stephenson, Gerald McRaney, Clare Carey, Richard Speight Jr., Michael Gaston, Erik Knudsen, Shoshannah Stern, Sprague Grayden;release_year: 2008;rating: TV-14;description: Jake returns to his Kansas town to collect an inheritance, but a nuclear blast cuts off the outside world and makes him a reluctant leader amid chaos.;"
"title: Jersey Boys;actors: John Lloyd Young, Erich Bergen, Michael Lomenda, Vincent Piazza, Christopher Walken, Mike Doyle, Renée Marino, Erica Piccininni, Joey Russo, Donnie Kehr, Katherine Narducci, Steve Schirripa;release_year: 2014;rating: R;description: Adapted from the hit Broadway musical, this nostalgic look at the Four Seasons and their bumpy offstage lives stretches across four decades.;"
title: Jesus: Countdown to Calvary;actors: Hugh Bonneville;release_year: 2018;rating: TV-14;description: Host Hugh Bonneville traces Jesus' last days to learn how the execution of an itinerant Jewish preacher had an immense impact on society.;
"title: Jewel's Catch One;actors: Jewel Thais-Williams;release_year: 2016;rating: TV-MA;description: The story of famed L.A. nightclub Catch One and owner Jewel Thais-Williams, who defied all odds and provided a safe space for black LGBT communities.;"
"title: Jhansi Ki Rani;actors: Ulka Gupta, Sameer Dharmadhikari, Amit Pachori, Shailesh Dattar, Aruna Irani;release_year: 2009;rating: TV-14;description: In British-ruled, 19th-century India, a 14-year-old girl trains as a warrior and becomes a devoted crusader in her country's fight for independence.;"
"title: Jimi Hendrix;actors: Jimi Hendrix, Eric Clapton, Billy Cox;release_year: 1973;rating: R;description: Jimi Hendrix's family, friends, and fellow musicians discuss his life and influence. Hendrix also appears in classic performance footage.;"
"title: JingleKids;actors: empty;release_year: 2017;rating: TV-Y7;description: In a magical wonderland, merry children and their furry friends explore their unique hobbies while making eye-opening discoveries through adventures.;"
"title: Jiro Dreams of Sushi;actors: Jiro Ono;release_year: 2011;rating: PG;description: This documentary profiles sushi chef Jiro Ono, an 85-year-old master whose 10-seat, $300-a-plate restaurant is legendary among Tokyo foodies.;"
"title: Jis Desh Men Ganga Behti Hai;actors: Raj Kapoor, Padmini, Pran, Chanchal, Lalita Pawar, Raj Mehra, Tiwari, Nana Palsikar, Nayampally, Sulochana Chatterjee;release_year: 1960;rating: TV-14;description: Falling in with a band of outlaws during a holy pilgrimage, a country boy tries to change their violent ways ahead of a showdown with the authorities.;"
"title: Joe Cocker: Mad Dog with Soul;actors: empty;release_year: 2017;rating: TV-14;description: From his star turn at Woodstock to his battles with addiction, this film chronicles the stormy life and unique talent of soulful singer Joe Cocker.;"
title: John & Jane;actors: empty;release_year: 2005;rating: TV-14;description: Truth and fiction blend in this quasi-documentary about six exhausted workers at a Mumbai call center servicing U.S. customers.;
"title: John Carter;actors: Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Bryan Cranston, Polly Walker, Daryl Sabara, Art Malik, Eileen Page, Amanda Clayton, Davood Ghadami, Daniel O'Meara, Jill Baker, Josh Daugherty, Oliver Boot, Philip Arditti, Arkie Reece, Joe Billingiere, Don Stark, Darwin Shaw, Figs Jackman, David Schwimmer, Emma Clifford, Christopher Goodman, Cate Fowler, Sean Carrigan, Dusty Sorg, Steven Cree, Phil Cheadle, Holly Weston, Nicholas Woodeson, Rupert Frazer, Edmund Kente;release_year: 2012;rating: PG-13;description: One minute, Civil War veteran John Carter is evading Apaches; the next, he's waking up on Mars, a once-fruitful planet that's devolved into chaos.;"
"title: John Day;actors: Naseeruddin Shah, Randeep Hooda, Shernaz Patel, Elena Kazan, Sharat Saxena, Vipin Sharma, Denzil Smith, Kenneth Desai, Sushil Pandey;release_year: 2013;rating: TV-MA;description: A bank manager and his wife, still grieving over their daughter who died in a fire, become pawns in a bank heist with ties to corruption and fraud.;"
title: John Mellencamp: Plain Spoken;actors: John Mellencamp;release_year: 2017;rating: TV-MA;description: Iconic rocker John Mellencamp lights up Chicago in an electrifying live performance featuring old classics and new tracks.;
"title: Jonathan;actors: Ansel Elgort, Suki Waterhouse, Douglas Hodge, Patricia Clarkson, Matt Bomer, Souleymane Sy Savane, Shunori Ramanathan, Joe Egender;release_year: 2018;rating: TV-MA;description: Two siblings share a body, each getting it for 12 hours a day. But when one of them breaks the rules, their whole way of life comes crashing down.;"
"title: Jonathan Strange & Mr Norrell;actors: Eddie Marsan, Bertie Carvel, Marc Warren, Charlotte Riley, Alice Englert, Samuel West, Enzo Cilenti, Paul Kaye, Edward Hogg, Ariyon Bakare;release_year: 2015;rating: TV-14;description: In 1806, ambitious magician Norrell leads a revival of practical magic in England and ignites a fierce rivalry with bold young conjurer Strange.;"
"title: Jora 10 Numbaria;actors: Deep Sidhu, Dharmendra, Ashish Duggal, Aman Hundal, Pali Sidhu, Mukesh Tiwari, Mukul Dev;release_year: 2017;rating: TV-MA;description: The wounds of a traumatic childhood and a corrupt, unjust system push a young man into becoming a cold-blooded, ruthless gangster.;"
"title: Juana Brava;actors: Elisa Zulueta, Alejandro Trejo, Lucas Balmaceda, Gastón Salgado, Nelson Brodt, Emilia Noguera, Daniel Guillón, Ángela Lineros;release_year: 2015;rating: TV-MA;description: After many years away, a woman returns to her hometown, where her mayor father presides over a corrupt, lawless and rundown municipality.;"
"title: Juana Inés;actors: Arcelia Ramírez, Arantza Ruiz, Hernán Del Riego, Margarita Sanz, Lisa Owen, Yolanda Corrales, Carlos Valencia, Mauricio Isaac, Pedro de Tavira Egurrola, Emilio Savinni, Néstor Galván, Paulina Matos, Alberto Collado, Rocío García, Luis Maya, Clementina Guadarrama;release_year: 2016;rating: TV-14;description: Juana Inés de la Cruz, a powerful feminist nun involved in a forbidden love affair with a woman, faces oppression in 17th-century Mexico.;"
"title: Judwaa;actors: Salman Khan, Karisma Kapoor, Rambha, Kader Khan, Anupam Kher, Shakti Kapoor, Bindu, Reema Lagoo, Satish Shah, Mukesh Rishi;release_year: 1997;rating: TV-14;description: Separated at birth, a pair of identical twins unexpectedly reunite as adults and embark on a madcap mission to take down a common enemy from their past.;"
"title: Judy Moody and the Not Bummer Summer;actors: Jordana Beatty, Heather Graham, Parris Mosteller, Preston Bailey, Kristoffer Ryan Winters, Garrett Ryan, Jaleel White, Ashley Boettcher, Taylar Hender, Cameron Boyce, Jenica Bergere, Janet Varney;release_year: 2011;rating: PG;description: In this family film, never-dull third-grader Judy Moody embarks on a summer adventure with her brother, Stink, and always-up-for-fun Aunt Opal.;"
"title: Jugaad;actors: empty;release_year: 2017;rating: TV-14;description: Following the stories of five diverse individuals, this documentary offers a glimpse into the indomitable tenacity of several Mumbai residents.;"
"title: Julie & Julia;actors: Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina, Linda Emond, Helen Carey, Mary Lynn Rajskub, Jane Lynch, Joan Juliet Buck;release_year: 2009;rating: PG-13;description: In this heartwarming tale, Julie Powell decides to spice up her uneventful life by cooking all 524 recipes outlined in Julia Child's classic cookbook.;"
"title: Julius Jr.;actors: Elizabeth Daily, Julie Lemieux, Athena Karkanis, Benjamin Israel, Stephanie Lynn Robinson;release_year: 2014;rating: TV-Y;description: Paul Frank's fun artwork comes to life in this show that follows monkey Julius Jr. and his friends as they explore the world and help each other out.;"
"title: Jumping the Broom;actors: Angela Bassett, Paula Patton, Laz Alonso, Loretta Devine, Meagan Good, Tasha Smith, Julie Bowen, DeRay Davis, Valarie Pettiford, Pooch Hall, Tenika Davis, T.D. Jakes, Mike Epps, Romeo Miller, Marguerite McNeil, El DeBarge, Brian Stokes Mitchell, Gary Dourdan;release_year: 2011;rating: PG-13;description: After a whirlwind romance, a couple rushes to say ""I do"" at the bride's family estate on Martha's Vineyard, where their relations meet — and clash.;"
"title: Junebug;actors: Amy Adams, Embeth Davidtz, Ben McKenzie, Alessandro Nivola, Frank Hoyt Taylor, Celia Weston, Scott Wilson, Jill Wagner, Victoria Jackson, Chuck Russell, Jerry Minor, Matt Besser;release_year: 2005;rating: R;description: When a big-city art dealer travels to North Carolina to meet her new husband's small-town family, their trip gives rise to a multitude of problems.;"
"title: Jupiter Ascending;actors: Mila Kunis, Channing Tatum, Sean Bean, Eddie Redmayne, Douglas Booth, Tuppence Middleton, Nikki Amuka-Bird, Christina Cole, James D'Arcy, Gugu Mbatha-Raw;release_year: 2015;rating: PG-13;description: A young impoverished woman learns she's been predestined to change the fate of the universe after a genetically engineered hunter tracks her down.;"
"title: Just Friends;actors: Anna Faris, Ty Olsson, Julie Hagerty, Amy Smart, Chris Marquette, Fred Ewanuick, Amy Matysio, Chris Klein, Ryan Reynolds, Stephen Root;release_year: 2005;rating: PG-13;description: Years after high school, a once-portly nice guy comes home for the holidays and reunites with a former crush he still has feelings for.;"
"title: Justice, My Foot!;actors: Stephen Chow, Anita Mui, Carrie Ng, Wai Ai, Benjamin Chan, Ka Sang Cheung, Wing Cho, Paul Chun, Eddy Ko, Chi Ming Lau;release_year: 1992;rating: TV-14;description: Slick lawyer Sung fears he's been cursed with bad karma and considers giving up his practice – until he's approached by a widow accused of murder.;"
"title: Justin Bieber: Never Say Never;actors: Justin Bieber, Ludacris, Usher Raymond, Jaden Smith, Miley Cyrus, Sean Kingston, Boyz II Men;release_year: 2011;rating: G;description: Teen idol Justin Bieber provides personal snapshots from throughout his career, culminating with scenes from his triumphant 2010 concert tour.;"
"title: K;actors: Daisuke Namikawa, Daisuke Ono, Mikako Komatsu, Kenjiro Tsuda, Tomokazu Sugita, Yui Horie, Takahiro Sakurai, Jun Fukuyama, Yuichi Nakamura, Miyuki Sawashiro, Mamoru Miyano, Satomi Sato, Yuki Kaji, Tetsuya Kakihara, Shozo Iizuka;release_year: 2012;rating: TV-MA;description: A young boy is wanted for a crime he has no recollection of committing and must go on the run, hunted by two powerful kings and their forces.;"
"title: K-19: The Widowmaker;actors: Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter;release_year: 2002;rating: PG-13;description: On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion.;"
"title: Kaçak;actors: Gürkan Uygun, Mustafa Avkıran, Berk Hakman, Begüm Birgören, Özlem Yılmaz, Yağmur Tanrısevsin, İnanç Konukçu, Hasan Küçükçetin, Metin Coşkun, Selda Özer, Yağız Atakan Savaş, Burak Deniz, Cengiz Sezici, Haluk Bilginer, Tuğba Melis Türk;release_year: 2013;rating: TV-14;description: A cop who killed a mobster's son and fled to a small town with a changed identity finds his quiet new life disrupted when he becomes a local hero.;"
"title: Kaabil;actors: Hrithik Roshan, Yami Gautam, Ronit Roy, Rohit Roy, Narendra Jha, Girish Kulkarni, Sahidur Rahaman, Suresh Menon;release_year: 2017;rating: TV-14;description: The happy life of a young blind couple is shattered when the wife is raped and corrupt police won't help, sending the husband on a quest for revenge.;"
"title: Kaakan;actors: Jitendra Joshi, Urmila Kanitkar, Ashutosh Gaikwad, Ashok Shinde, Madhavi Juvekar;release_year: 2015;rating: TV-PG;description: Star-crossed lovers from different social strata struggle to overcome differences in class and family expectation, as well as a long separation.;"
"title: Kaalia;actors: Amitabh Bachchan, Asha Parekh, Parveen Babi, Amjad Khan, Pran, K.N. Singh, Sajjan, Murad, Kader Khan, Jagdeep;release_year: 1981;rating: TV-14;description: Jailed for robbing his brother’s unscrupulous employer, a simpleton has a transformation while in prison, emerging with a violent mission for revenge.;"
"title: Kaaliyan;actors: Tini Tom, Meghanathan, Balachandran Chullikadu, Shivaji Guruvayoor, Kottayam Purushan, Nithin George, Grace Antony, Shalu;release_year: 2017;rating: TV-PG;description: An aggressive, wayward fisherman abandons his wife and daughters, who grow up to face the consequences of their father's mistakes.;"
"title: Kabali (Hindi Version);actors: Rajnikanth, Winston Chao, Radhika Apte, Nassar, Dhansika, Kalaiyarasan, Dinesh, John Vijay, Kishore Kumar G., Riythvika;release_year: 2016;rating: TV-MA;description: In this Hindi version of the Tamil blockbuster, a Tamil gang leader in Kuala Lumpur seeks justice for crimes committed against him and his family.;"
"title: Kacche Dhaagey;actors: Yograj Singh, Nitu Pandher, Deep Mandian, Shreya Chawla, Jagpal Singh Chahal, Jyoti Sharma, Janak Joshi, Karan Vinayak;release_year: 2016;rating: TV-14;description: While visiting India for her cousin's wedding, a Canadian girl develops strong feelings for a boy from a lower caste.;"
"title: Kahlil Gibran's The Prophet;actors: Liam Neeson, Salma Hayek, John Krasinski, Frank Langella, Alfred Molina, John Rhys-Davies, Quvenzhané Wallis;release_year: 2014;rating: PG;description: A troubled young girl and her mother find solace on a journey with a subversive poet whose words captivate their hearts and imaginations.;"
"title: Kajraare;actors: Himesh Reshammiya, Sara Loren, Amrita Singh, Gulshan Grover, Javed Sheikh, Adnan Shah, Natasha Sinha, Gaurav Chanana, Anupam Shyam;release_year: 2010;rating: TV-14;description: A popular singer on the run poses as a bartender and falls in love with a prostitute, but their love is threatened by a violent incident in his past.;"
"title: Kaleidoscope;actors: Toby Jones, Anne Reid, Sinead Matthews, Cecilia Noble, Karl Johnson, Frederick Schmidt, Deborah Findlay, Manjinder Virk;release_year: 2016;rating: TV-MA;description: A quiet ex-con's tenuous grip on reality starts to slip when his manipulative mother brings out a part of him he hoped to leave behind.;"
"title: Kalki;actors: Kishore Kumar G., Yasmin Ponnappa, Mithraboomi Saravanan;release_year: 2017;rating: TV-14;description: A scientist trying to solve one of the universe's greatest puzzles begins a romance with a much younger colleague that's haunted by a dark secret.;"
"title: Kanika;actors: Sharad Ponkshe, Smita Shewale;release_year: 2017;rating: TV-14;description: A doctor and his colleagues who use sex-determination testing for unethical ends face retribution from a supernatural victim who seeks vengeance.;"
"title: Karzzzz;actors: Himesh Reshammiya, Urmila Matondkar, Shweta Kumar, Dino Morea, Raj Babbar, Danny Denzongpa, Gulshan Grover, Rohini Hattangadi, Asrani, Smita Bansal;release_year: 2008;rating: TV-14;description: When flashbacks reveal that he's the reincarnation of a man murdered by his wife, rock star Monty sets out to get revenge for the decades-old crime.;"
"title: Kate & Leopold;actors: Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman;release_year: 2001;rating: PG-13;description: A present-day woman takes responsibility for guiding a charming time-traveling 19th-century nobleman through the 21st century.;"
"title: Katha;actors: Farooq Shaikh, Naseeruddin Shah, Deepti Naval, Veeni Paranjape Joglekar, Mallika Sarabhai, Arun Joglekar;release_year: 1982;rating: TV-PG;description: Secretly in love with his neighbor, a mild-mannered clerk is heartbroken when his much bolder, more charming friend wins her heart instead.;"
"title: Katt Williams: Live;actors: Katt Williams;release_year: 2006;rating: NR;description: Outspoken comedian Katt Williams pokes fun at a variety of topics, including sex, relationships, parenthood and trying to make it as an entertainer.;"
"title: Kaviyude Osyath;actors: Prakash Bare, Arun Kumar, Kulappulli Leela, Sangeetha Mohan, Kochu Preman;release_year: 2017;rating: TV-14;description: When a late poet leaves behind his property to a young man, the man's brother suspects the poet may have been more than just a family friend.;"
"title: Kay Dyache Bola;actors: Makarand Anaspure, Akshay Pendse, Umesh Kamat, Sharvari Jamenis, Sachin Khedekar, Arun Nalawade, Mohan Agashe, Nirmiti Sawant, Sanjay Mone, Amita Khopkar, Pushkar Shrotri, Ganesh Yadav;release_year: 2005;rating: TV-14;description: Wrongfully accused of murder, two students' last hope lies with their defense attorney, an inexperienced bumbler who's never even tried a case.;"
"title: Ken Burns: The Civil War;actors: Sam Waterston, Julie Harris, Jason Robards, Morgan Freeman, Paul Roebling, Garrison Keillor, George Black, David McCullough, Arthur Miller, Christopher Murney, Charles McDowell, Horton Foote, George Plimpton, Philip Bosco, Terry Courier, Jody Powell, Studs Terkel;release_year: 1990;rating: TV-14;description: Ken Burns's documentary depicts the action of famous Civil War battles, and relates the stories of soldiers, generals and a beleaguered president.;"
"title: Ken Burns: The Roosevelts: An Intimate History;actors: empty;release_year: 2014;rating: TV-PG;description: Award-winning documentarian Burns profiles three members of one of America's premier political families: Theodore, Franklin and Eleanor Roosevelt.;"
title: Ken Burns: The West;actors: Peter Coyote;release_year: 1996;rating: TV-PG;description: Historian Ken Burns and his team bring to life the challenges Americans faced in the 19th century as they embarked on westward expansion.;
"title: Kevin Hart: Laugh at My Pain;actors: Kevin Hart;release_year: 2011;rating: R;description: Sometimes edgy and always hilarious, comedian Kevin Hart shines in this theatrical version of his record-breaking 2011 live tour.;"
"title: Kevin Hart: Let Me Explain;actors: Kevin Hart;release_year: 2013;rating: R;description: Philadelphia funnyman Kevin Hart takes the stage in front of a sold-out crowd at Madison Square Garden, part of his hit ""Let Me Explain"" world tour.;"
"title: Kevin Hart: Seriously Funny;actors: Kevin Hart;release_year: 2010;rating: TV-MA;description: With his unique hip-hop style delivery, African American stand-up comedian Kevin Hart expounds on life at a sold-out concert performance.;"
"title: Kevyn Aucoin: Beauty & the Beast in Me;actors: Kevyn Aucoin, Cindy Crawford, Naomi Campbell, Gwyneth Paltrow, Andie MacDowell, Paulina Porizkova, Amber Valletta;release_year: 2017;rating: TV-MA;description: Makeup artist Kevyn Aucoin worked with top supermodels in the 1980s and 1990s. Personal videos merged with interviews provide a peek into his life.;"
"title: Khaani;actors: Feroze Khan, Sana Javed, Mehmood Aslam, Saman Ansari, Qavi Khan, Salma Hasan, Rashid Farooqi, Muhammad Mubarik Ali;release_year: 2017;rating: TV-14;description: After a rich politician's son kills a young woman's brother, an unlikely romantic connection complicates her pursuit of justice.;"
"title: Khalnayak;actors: Sanjay Dutt, Madhuri Dixit, Jackie Shroff, Anupam Kher, Rakhee Gulzar, Pramod Moutho, Ramya Krishnan, Sushmita Mukherjee, Neena Gupta, A.K. Hangal;release_year: 1993;rating: TV-14;description: A prison guard goes undercover as a dancer to try and recapture an escaped criminal and restore her police inspector boyfriend's reputation.;"
"title: Khan: No. 1 Crime Hunter;actors: Rajesh Sharma;release_year: 2018;rating: TV-14;description: From fake marriages to online shopping fraud, a whip-smart police officer investigates truly baffling cons that were inspired by true stories.;"
"title: Khelti Hai Zindagi Aankh Micholi;actors: Ulka Gupta, Gautami Kapoor, Reema Shaikh, Vinay Jain, Manav Gohil, Helly Shah;release_year: 2013;rating: TV-14;description: The life of a 14-year-old girl is thrown into turmoil when her father dies, forcing her mother to make hard choices for their family.;"
"title: Khosla Ka Ghosla;actors: Anupam Kher, Boman Irani, Parvin Dabas, Tara Sharma, Navin Nischol, Kiran Juneja, Ranvir Shorey, Vinod Nagpal, Vinay Pathak, Nitish Pandey;release_year: 2006;rating: TV-14;description: A cranky control freak must rely on his comically dysfunctional family to pull off a scam on a greedy land shark who's stolen his prized property.;"
"title: Khotey Sikkey;actors: Vikas Kumar, Hassan Zaidi, Sukhmani Sadana, Puru Chibber, Dilkhush, Mark Farokh Parakh;release_year: 2011;rating: TV-14;description: Five affluent youths find a new sense of purpose as they team up with a Mumbai police officer on crime-busting missions around the city.;"
"title: Khubsoorat;actors: Ashok Kumar, Rekha, Rakesh Roshan, Shashikala, Aradhana, Dina Pathak, David Abraham, S.N. Banerjee, Keshto Mukherjee;release_year: 1980;rating: TV-PG;description: A strict matriarch's regimented household is upended by the arrival of a spunky relative who challenges the rules.;"
"title: Khushi;actors: Fardeen Khan, Kareena Kapoor, Amrish Puri, Navin Nischol, Beena, Anup Soni, Johnny Lever, Sharat Saxena, Amitabh Bachchan, Sakshi Shivanand;release_year: 2003;rating: TV-14;description: While playing matchmaker to a pair of their friends, two young university students begin developing feelings for each other.;"
"title: Kia and Cosmos;actors: Ritwika Pal, Swastika Mukherjee, Joy Sengupta;release_year: 2018;rating: TV-14;description: A 15-year-old girl with autism attempts to write a mystery novel based on her hunt for the killer of a neighborhood cat.;"
"title: Kickboxer: Retaliation;actors: Alain Moussi, Jean-Claude Van Damme, Mike Tyson, Christopher Lambert, Sara Malakul Lane, Hafþór Júlíus Björnsson, Sam Medina, Steven Swadling;release_year: 2017;rating: R;description: Sloan's vow to never return to Thailand is cut short when he's kidnapped and taken to a Thai prison, where he's forced to fight a 400-pound brute.;"
"title: Kickboxer: Vengeance;actors: Alain Moussi, Jean-Claude Van Damme, Dave Bautista, Gina Carano, Georges St-Pierre, Sara Malakul Lane, Matthew Ziff, T.J. Storm, Fabricio Werdum, Cain Velasquez;release_year: 2016;rating: TV-MA;description: After a skilled fighter falls in the ring, his younger brother emerges from the shadows to train and get revenge against a brutal champion.;"
"title: Kicking and Screaming;actors: Josh Hamilton, Olivia d'Abo, Carlos Jacott, Chris Eigeman, Eric Stoltz, Jason Wiles, Parker Posey, Cara Buono, Elliott Gould, Samuel Gould;release_year: 1995;rating: R;description: After graduating, four college roomies – petrified by the prospect of facing ""real life"" – reluctantly step into adulthood in this ensemble comedy.;"
"title: Kid Kulafu;actors: Robert Villar, Alessandra de Rossi, Cesar Montano, Alex Medina, Jake Macapagal, Khalil Ramos, Jomari Angeles, Kokoy DeSantos;release_year: 2015;rating: TV-14;description: Growing up in poverty and political turmoil, he found his way out in the ring. The early years of world-famous boxer Manny Pacquiao unfolds in this biopic.;"
"title: Kidnapping Mr. Heineken;actors: Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik;release_year: 2015;rating: R;description: When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history.;"
"title: Kikoriki;actors: Igor Dmitriev;release_year: 2010;rating: TV-Y;description: A wacky rabbit and his gang of animal pals have fun solving problems, sharing stories and exploring their sometimes magical, always special world.;"
